DLP_REDO_FROM_COPAL_G09.CEL TCGA-IC-A6RE
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_G06_1373580.CEL TCGA-IC-A6RF
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_D12_1301442.CEL TCGA-IG-A3I8
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_D06_1301356.CEL TCGA-IG-A3QL
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C12_1301382.CEL TCGA-IG-A3Y9
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_G04_1301166.CEL TCGA-IG-A3YA
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_F10_1301224.CEL TCGA-IG-A3YB
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_F04_1301292.CEL TCGA-IG-A3YC
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_E11_1320620.CEL TCGA-IG-A4P3
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_D08_1320634.CEL TCGA-IG-A4QS
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_G02_1320492.CEL TCGA-IG-A4QT
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_F05_1320550.CEL TCGA-IG-A50L
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_G06_1320648.CEL TCGA-IG-A51D
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C09_1362236.CEL TCGA-IG-A5B8
BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_C04_1362260.CEL TCGA-IG-A5S3
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A06_1364814.CEL TCGA-IG-A625
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_A09_1377502.CEL TCGA-IG-A6QS
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_G11_1373738.CEL TCGA-IG-A7DP
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_H04_1438460.CEL TCGA-IG-A8O2
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_D05_1474214.CEL TCGA-IG-A97H
ENATE_p_TCGAb_394_395_396_NSP_GenomeWideSNP_6_C05_1474162.CEL TCGA-IG-A97I
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B11_1377456.CEL TCGA-JY-A6F8
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_B03_1377438.CEL TCGA-JY-A6FA
